CVE_MUN,NOM_MUN
0,Jalisco
001,Acatic
002,Acatlán de Juárez
003,Ahualulco de Mercado
004,Amacueca
005,Amatitán
006,Ameca
007,San Juanito de Escobedo
008,Arandas
009,El Arenal
010,Atemajac de Brizuela
011,Atengo
012,Atenguillo
013,Atotonilco el Alto
014,Atoyac
015,Autlán de Navarro
016,Ayotlán
017,Ayutla
018,La Barca
019,Bolaños
020,Cabo Corrientes
021,Casimiro Castillo
022,Cihuatlán
023,Zapotlán el Grande
024,Cocula
025,Colotlán
026,Concepción de Buenos Aires
027,Cuautitlán de García Barragán
028,Cuautla
029,Cuquío
030,Chapala
031,Chimaltitán
032,Chiquilistlán
033,Degollado
034,Ejutla
035,Encarnación de Díaz
036,Etzatlán
037,El Grullo
038,Guachinango
039,Guadalajara
040,Hostotipaquillo
041,Huejúcar
042,Huejuquilla el Alto
043,La Huerta
044,Ixtlahuacán de los Membrillos
045,Ixtlahuacán del Río
046,Jalostotitlán
047,Jamay
048,Jesús María
049,Jilotlán de los Dolores
050,Jocotepec
051,Juanacatlán
052,Juchitlán
053,Lagos de Moreno
054,El Limón
055,Magdalena
056,Santa María del Oro
057,La Manzanilla de la Paz
058,Mascota
059,Mazamitla
060,Mexticacán
061,Mezquitic
062,Mixtlán
063,Ocotlán
064,Ojuelos de Jalisco
065,Pihuamo
066,Poncitlán
067,Puerto Vallarta
068,Villa Purificación
069,Quitupan
070,El Salto
071,San Cristóbal de la Barranca
072,San Diego de Alejandría
073,San Juan de los Lagos
074,San Julián
075,San Marcos
076,San Martín de Bolaños
077,San Martín Hidalgo
078,San Miguel el Alto
079,Gómez Farías
080,San Sebastián del Oeste
081,Santa María de los Ángeles
082,Sayula
083,Tala
084,Talpa de Allende
085,Tamazula de Gordiano
086,Tapalpa
087,Tecalitlán
088,Tecolotlán
089,Techaluta de Montenegro
090,Tenamaxtlán
091,Teocaltiche
092,Teocuitatlán de Corona
093,Tepatitlán de Morelos
094,Tequila
095,Teuchitlán
096,Tizapán el Alto
097,Tlajomulco de Zúñiga
098,Tlaquepaque
099,Tolimán
100,Tomatlán
101,Tonalá
102,Tonaya
103,Tonila
104,Totatiche
105,Tototlán
106,Tuxcacuesco
107,Tuxcueca
108,Tuxpan
109,Unión de San Antonio
110,Unión de Tula
111,Valle de Guadalupe
112,Valle de Juárez
113,San Gabriel
114,Villa Corona
115,Villa Guerrero
116,Villa Hidalgo
117,Cañadas de Obregón
118,Yahualica de González Gallo
119,Zacoalco de Torres
120,Zapopan
121,Zapotiltic
122,Zapotitlán de Vadillo
123,Zapotlán del Rey
124,Zapotlanejo
125,San Ignacio Cerro Gordo
